Asset,Model,Numerical Method,RMSE,MAE,MAPE (%)
Bitcoin,Hist Gradient Boosting,Trapezoidal,2640.218685555537,1991.599228879544,2.4914243492781663
Bitcoin,Random Forest,Euler,2473.893381817175,1842.4245208463997,2.3141477040003924
Bitcoin,Ridge Regression,Euler,2536.1300977453625,1895.1111471195238,2.3737159701638118
Ethereum,Hist Gradient Boosting,Euler,135.1054228577038,97.66671808090025,3.265478922338546
Ethereum,Random Forest,Euler,134.33288619081026,96.74485677573266,3.2286938569560006
Ethereum,Ridge Regression,Euler,136.84532969846094,98.53687122435339,3.3098284035133365
Gold,Hist Gradient Boosting,Euler,50.80181289717243,30.35967180578943,0.9255550383506221
Gold,Random Forest,Euler,50.68908425180304,29.809813110554465,0.9081487582849829
Gold,Ridge Regression,Trapezoidal,50.79951444570994,30.563787299719248,0.9309830063398026
Silver,Hist Gradient Boosting,Euler,2.1464903941633104,0.8695395602605861,1.816596570537587
Silver,Random Forest,Euler,2.215591337856129,0.8755329529054857,1.827747473266173
Silver,Ridge Regression,RK4_like,2.21295042592508,0.8938447420046518,1.8665276249337517
USD Index,Hist Gradient Boosting,Euler,0.42742142322627064,0.32039149607292666,0.31371249635571424
USD Index,Random Forest,Euler,0.4237674418393527,0.3165645128389718,0.30994001973774193
USD Index,Ridge Regression,Trapezoidal,0.42678801099594155,0.3197304680579764,0.3130156995806657
WTI Oil,Hist Gradient Boosting,Trapezoidal,1.4381395345474226,1.1019218715197572,1.600904918494589
WTI Oil,Random Forest,Euler,1.3517545959824075,1.0420757025058385,1.5054711805178436
WTI Oil,Ridge Regression,Trapezoidal,1.5477739221376567,1.1815389696020384,1.718371027147918
