MSE,RMSE,MAE,R2,Directional Accuracy,Asset,Model,Best Params
0.001005013226744194,0.031701943579916264,0.023145976352962793,-0.011499157920075165,0.4709090909090909,Bitcoin,Random Forest,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 3}"
0.0010481079999888022,0.03237449613490227,0.023723309253938216,-0.05487204664203893,0.5327272727272727,Bitcoin,Ridge Regression,{'ridge__alpha': 1000}
0.0011562427042693696,0.03400356899311262,0.025246236635266678,-0.16370460666323172,0.46545454545454545,Bitcoin,Hist Gradient Boosting,"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.01, 'l2_regularization': 0.01}"
0.001981168410395029,0.044510318021724234,0.03222996860606334,-0.009862170518385227,0.4672727272727273,Ethereum,Random Forest,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_depth': 3}"
0.0020052800699651052,0.04478035361590064,0.03258680166147896,-0.02215262131523721,0.48363636363636364,Ethereum,Hist Gradient Boosting,"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.01, 'l2_regularization': 0.01}"
0.00208882635531999,0.04570367988816644,0.03300423609031889,-0.06473871981375368,0.5109090909090909,Ethereum,Ridge Regression,{'ridge__alpha': 1000}
0.00017251324652200605,0.013134429813357185,0.009075749621344956,-0.0113814602140756,0.5581818181818182,Gold,Random Forest,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 3}"
0.0001756094103181693,0.013251770082451977,0.009254099829772286,-0.02953312522738294,0.5145454545454545,Gold,Hist Gradient Boosting,"{'min_samples_leaf': 40, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.03, 'l2_regularization': 0.01}"
0.00017794116785405366,0.013339459054026654,0.009361888139239083,-0.043203358609762876,0.46545454545454545,Gold,Ridge Regression,{'ridge__alpha': 1000}
0.0008744488475851705,0.029571081271829922,0.018102560076188358,0.03274553910769962,0.4763636363636364,Silver,Hist Gradient Boosting,"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.01, 'l2_regularization': 0.01}"
0.0009068776819872038,0.030114409872803484,0.018179152909535083,-0.0031249807329127854,0.4781818181818182,Silver,Random Forest,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 3}"
0.0009226546531100866,0.03037523091451465,0.018690097697529728,-0.020576368244165755,0.4781818181818182,Silver,Ridge Regression,{'ridge__alpha': 1000}
1.7153091200575568e-05,0.004141629051541865,0.003098482482475946,-0.0010605137884260873,0.49636363636363634,USD Index,Random Forest,"{'n_estimators': 300, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 3}"
1.745529981997916e-05,0.00417795402320073,0.003136328764797089,-0.018697516488050292,0.509090909090909,USD Index,Hist Gradient Boosting,"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.01, 'l2_regularization': 0.01}"
1.746324892426231e-05,0.004178905230351882,0.003124659265521918,-0.01916142904613083,0.5127272727272727,USD Index,Ridge Regression,{'ridge__alpha': 1000}
0.00038224175553541647,0.01955100395210989,0.015056297585752408,-0.03592322558033634,0.49272727272727274,WTI Oil,Random Forest,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 3}"
0.00045376451920078295,0.021301749205189298,0.016181838196990653,-0.22975890932154286,0.5,WTI Oil,Hist Gradient Boosting,"{'min_samples_leaf': 10, 'max_leaf_nodes': 15, 'max_iter': 100, 'learning_rate': 0.01, 'l2_regularization': 0.01}"
0.0005354265972470198,0.02313928687853236,0.017449724213783414,-0.45107341008495494,0.5072727272727273,WTI Oil,Ridge Regression,{'ridge__alpha': 1000}
